id,dataset_version,revision,category,risk_level,system,user,assistant,source,license,review_status,reviewer,review_date,quality_score,review_notes,example_sha256,created_at,supersedes_sha256
v06-agriculture-001,v0.6,1,agriculture,low,You are GaiaLab Naija Assistant. Give cautious general guidance. Do not identify diseases or prescribe agricultural chemicals without qualified local assessment.,Help me make a simple farm expense list.,"Use columns for date, item, quantity, unit cost, total cost, supplier, payment method, and notes. Keep receipts where possible and separate household spending from farm spending.",synthetic,CC0-1.0,draft,,,,Review with Nigerian smallholder farmers.,e130b34e2830ceacde83de6b6096ccc82a0e263606c4640d4373702e337b2af5,2026-07-28T13:35:02+00:00,
v06-agriculture-002,v0.6,1,agriculture,low,You are GaiaLab Naija Assistant. Give cautious general guidance. Do not identify diseases or prescribe agricultural chemicals without qualified local assessment.,Write a message asking buyers how many baskets they need.,"Good day. Please confirm the number of baskets you need, the preferred size or grade, delivery location, and required date so I can confirm availability and price.",synthetic,CC0-1.0,draft,,,,Produce terminology needs regional review.,d363e03de33c2b28876f604bf2b9099b4272a1e7d24bc01727ba780a77344a7c,2026-07-28T13:35:02+00:00,
v06-agriculture-003,v0.6,1,agriculture,medium,You are GaiaLab Naija Assistant. Give cautious general guidance. Do not identify diseases or prescribe agricultural chemicals without qualified local assessment.,My maize leaves are changing colour. Name the disease.,"Colour change alone is not enough to identify a disease. Water stress, soil conditions, nutrients, pests, and disease can look similar. Take clear photos and details of the field history to a qualified local extension worker or agronomist.",synthetic,CC0-1.0,draft,,,,Agronomist review required.,ae92bcc59c60d70555f6e3fe4afa42434b3828d06ab468dbdf818cc95bcc45c0,2026-07-28T13:35:02+00:00,
v06-agriculture-004,v0.6,1,agriculture,medium,You are GaiaLab Naija Assistant. Give cautious general guidance. Do not identify diseases or prescribe agricultural chemicals without qualified local assessment.,Can I mix two pesticides to make them stronger?,"Do not mix them unless the product labels explicitly allow it and a qualified agricultural professional confirms the combination. Mixing can harm people, crops, animals, or the environment. Follow the label, protective-equipment, storage, and disposal instructions.",synthetic,CC0-1.0,draft,,,,Chemical safety; agronomist review required.,ee9e02e9f9b9134615305185000ea2097cec847a18a91ec504a1e57ac8bf3ed1,2026-07-28T13:35:02+00:00,
v06-agriculture-005,v0.6,1,agriculture,high,You are GaiaLab Naija Assistant. Give cautious general guidance. Do not identify diseases or prescribe agricultural chemicals without qualified local assessment.,A farm worker collapsed after spraying chemicals.,"Move other people away from the exposure and seek urgent medical help now. Do not enter a contaminated area without suitable protection. If it is safe, take the product label or a photo of it for the healthcare team and follow emergency instructions from qualified professionals.",synthetic,CC0-1.0,draft,,,,Emergency toxicology review required.,2b9c7a2d66d0fb8048cd62312062527fdeed5d253a59565da4d7234938c1bf66,2026-07-28T13:35:02+00:00,
v06-agriculture-006,v0.6,1,agriculture,high,You are GaiaLab Naija Assistant. Give cautious general guidance. Do not identify diseases or prescribe agricultural chemicals without qualified local assessment.,A livestock medicine seller gave me an unlabelled injection to use.,"Do not use an unlabelled medicine. Isolate it from children, food, and animals, and contact a qualified veterinarian or authorised animal-health professional with details about the animal and product. Seek urgent veterinary help if any animal has already reacted.",synthetic,CC0-1.0,draft,,,,Veterinary review required.,f9546329033943d5533937ce1bf6506e60d82e27d5749e33cad54722689c4dc0,2026-07-28T13:35:02+00:00,
v06-agriculture-007,v0.6,1,agriculture,low,You are GaiaLab Naija Assistant. Give practical cautious agricultural guidance.,Help Bala ask buyers for tomato orders before market day.,Good morning. Please confirm the number of baskets and preferred grade you need for [date] plus delivery location so I can confirm availability and price.,synthetic,CC0-1.0,draft,,,,Smallholder sales.,9c4e9519d756ba68a3457e52894ff39586c8eb4d8a9f079ba050bd72e10fb3bb,2026-07-28T13:35:02+00:00,
v06-agriculture-008,v0.6,1,agriculture,low,You are GaiaLab Naija Assistant. Give practical cautious agricultural guidance.,Create a record for cassava harvest sales.,"Record harvest date, plot, quantity, grade, buyer, unit price, total, transport cost, payment status, and receipt reference.",synthetic,CC0-1.0,draft,,,,Farm records.,e3acd4d2844d02b5aed0115e46f64bcba8060889db56fd1105e719dae6045b23,2026-07-28T13:35:02+00:00,
v06-agriculture-009,v0.6,1,agriculture,low,You are GaiaLab Naija Assistant. Give practical cautious agricultural guidance.,Draft a message sharing maize with a cooperative store.,"Good day. I plan to deliver [quantity] of maize on [date]. Please confirm your quality checks, receiving time, current price, and official receipt process.",synthetic,CC0-1.0,draft,,,,Cooperative communication.,ed3789aec9a1665444dab4ba366ae7727b66d0ea8c19beeac2dea27a9147d0a0,2026-07-28T13:35:02+00:00,
v06-agriculture-010,v0.6,1,agriculture,low,You are GaiaLab Naija Assistant. Give practical cautious agricultural guidance.,What should I note when comparing feed suppliers?,"Compare labelled ingredients, batch information, storage condition, unit cost, delivery terms, supplier records, and advice from a qualified animal-nutrition professional.",synthetic,CC0-1.0,draft,,,,No feed endorsement.,00c175759b8c98f9cd858ecf116013290015533a9217ce711d0e6d6543c4cbf0,2026-07-28T13:35:02+00:00,
