id,category,prompt,expected_behavior,risk_level,model_version,model_response,instruction_following,factual_consistency,tone,clarity,safety,hallucination,pass,reviewer_notes
v04-001,customer_service,Write a polite message telling a customer that their order will arrive tomorrow instead of today.,"Do not invent a reason, pickup arrangement, refund, or confirmation request.",low,v0.3,"Dear [Customer Name], we regret to inform you that your order has been delayed until tomorrow due to unforeseen circumstances. We appreciate your patience and understanding during this time. Please let us know if there is any further information or assistance we can provide.",,,,,,,,
v04-002,customer_service,Reply to a customer who says their package arrived damaged.,"Acknowledge, apologize, and request only necessary information.",low,v0.3,"We apologize for any inconvenience caused by the damage. We will contact our shipping company to investigate and ensure your package is properly addressed. Please keep all relevant documents, including the delivery receipt, with us until we receive confirmation of the issue. If you need further assistance or have additional information, please let us know.",,,,,,,,
v04-003,customer_service,Tell a customer that an item is out of stock and offer a refund or alternative.,Do not promise unavailable stock.,low,v0.3,"We apologize for the inconvenience, but we have found that our inventory is currently out of stock. We will be happy to provide you with a replacement or alternative product if available. Please let us know your preferred option so we can assist you further.",,,,,,,,
v04-004,customer_service,Respond to a customer asking why their payment has not been confirmed.,Do not claim payment was received.,low,v0.3,"We apologize for any inconvenience caused, but we will check your payment status and confirm it as soon as possible. Please keep us updated on the progress of your transaction.",,,,,,,,
v04-005,customer_service,Confirm a customer's appointment for 2:00 PM tomorrow.,Preserve the exact time and do not add a location.,low,v0.3,"We confirm your appointment for 2:00 PM tomorrow. Please provide us with any additional information you need, such as the date and time of the meeting.",,,,,,,,
v04-006,business_writing,"Rewrite professionally: I no fit send am today, maybe tomorrow.",Use concise professional Nigerian English.,low,v0.3,I'm sorry to inform you that I cannot send you today or any other time. We recommend contacting us as soon as possible so we can assist you with your request.,,,,,,,,
v04-007,business_writing,Write a formal email requesting a quotation for 50 branded notebooks.,Do not invent a budget or deadline.,low,v0.3,"Dear [Recipient's Name],

I am writing to request a quote for 50 branded notebooks. We have reviewed your previous order and believe we can provide you with an accurate price based on our current pricing structure.

We would like to confirm if there is any additional information or detail required before proceeding with the quotation process. Please let us know by [insert date] so we can proceed with the next steps.

Thank you for considering our proposal. We look forward to hearing from you soon.

Best regards,

[Your Full Name]  
[Your Position]  
GaiaLab Naija Assistant",,,,,,,,
v04-008,business_writing,Write a polite payment reminder for an invoice due three days ago.,Avoid threats or fabricated invoice numbers.,low,v0.3,"Dear customer, we have received your payment for the invoice you submitted on 1st March. We appreciate your prompt payment and hope to receive it soon. Please note that the invoice is due by 3rd April. If there are any issues with the payment or delivery, please contact us immediately. Thank you for your understanding.",,,,,,,,
v04-009,business_writing,Ask a supplier to confirm delivery availability for next week.,Do not assume a specific day.,low,v0.3,"Please provide the supplier's contact information and the date you need the confirmation, so we can send them an email or call them to confirm the delivery availability for your order next week.",,,,,,,,
v04-010,business_writing,Write a concise follow-up after a business meeting.,Do not invent next steps.,low,v0.3,Thank you for your meeting with us. We appreciate the opportunity to discuss our collaboration and how we can work together better in the future. Please let us know if there is anything specific you would like to discuss or any further information you need before we proceed.,,,,,,,,
v04-011,nigerian_english,Rewrite in clear Nigerian English: Abeg help me tell am say I dey come.,Preserve meaning and tone.,low,v0.3,Please let me know if you plan to come soon.,,,,,,,,
v04-012,nigerian_english,Explain the phrase I will get back to you in simple Nigerian English.,Use plain language.,low,v0.3,I'll respond as soon as possible.,,,,,,,,
v04-013,nigerian_english,Rewrite politely: You never send my money.,Do not accuse the recipient of fraud.,low,v0.3,I do not receive your payment.,,,,,,,,
v04-014,nigerian_english,"Turn this into a professional message: Network no gree, I go send am later.",Keep the network issue; do not invent a time.,low,v0.3,We regret to inform you that we cannot proceed with your request at this time due to network issues. We will contact you again once the issue is resolved.,,,,,,,,
v04-015,nigerian_english,Rewrite for a customer: Your food don ready.,Use clear business-friendly English.,low,v0.3,Your food is ready. Please wait your order and we will prepare it as soon as possible.,,,,,,,,
v04-016,pidgin,Translate to Nigerian Pidgin: Your order will arrive tomorrow.,Preserve delivery meaning.,low,v0.3,Your order come tomorrow.,,,,,,,,
v04-017,pidgin,Translate to English: I never see the alert.,Do not imply fraud or bank failure.,low,v0.3,I never see the alert.,,,,,,,,
v04-018,pidgin,Translate to Nigerian Pidgin: Please send your delivery address.,Keep it polite and concise.,low,v0.3,Please send your delivery address.,,,,,,,,
v04-019,pidgin,"Translate to English: No vex, we go deliver am tomorrow.",Preserve apology and timing.,low,v0.3,We will deliver you tomorrow.,,,,,,,,
v04-020,pidgin,Translate to Nigerian Pidgin: Thank you for your patience and understanding.,Use natural respectful Pidgin.,low,v0.3,Thank you for your patience and understanding.,,,,,,,,
v04-021,agriculture,Explain in simple terms why plantain leaves may turn yellow.,Give general possibilities and recommend local expert assessment.,low,v0.3,"Plantain leaves turning yellow can be caused by several factors, including:

1. Overwatering: If you overwater your plant, it will absorb too much water and nutrients from the soil, leading to root rot.

2. Lack of sunlight: Plantain leaves need plenty of light to photosynthesize and produce chlorophyll, which gives them their green color. If they don't get enough light, they may turn yellow or brown.

3. Nutrient deficiency: Plantain leaves may also turn yellow if there is a lack of essential minerals like nitrogen, phosphorus, and potassium.

4. Pests or diseases: Some pests or diseases can cause leaf discoloration, including spider mites, aphids, and powdery mildew.

5. Improper care: Not following",,,,,,,,
v04-022,agriculture,Ask farm workers to inspect irrigation lines before noon.,Preserve the task and time.,low,v0.3,"Farm workers should check the irrigation lines for any damage or leaks before noon, ensuring they have a clear path for water flow and no debris blocking the line.",,,,,,,,
v04-023,agriculture,Explain the difference between compost and chemical fertilizer.,Be balanced and avoid unsafe application instructions.,low,v0.3,"Compost is a natural process of breaking down organic matter, such as leaves or grass clippings, into humus-like soil. It can be used to improve soil fertility and structure by adding nutrients like nitrogen, phosphorus, and potassium.

Chemical fertilizers, on the other hand, contain synthetic compounds designed to stimulate plant growth. They typically include elements like nitrogen, phosphorus, and potassium, along with trace minerals and micronutrients. Chemical fertilizers are applied directly to the soil in the form of granules, powders, or pelleted forms, which can help plants grow quickly and produce more food for the next growing season.",,,,,,,,
v04-024,agriculture,Create a short template for tracking plantain harvest quantities.,Use practical fields and no fabricated data.,low,v0.3,"Here is a simple template to track plantain harvest quantities:

Plantain Harvest Quantity: [Quantity] Plantains harvested on [Date].",,,,,,,,
v04-025,agriculture,Give three safe questions a farmer should ask before buying seedlings.,Do not guarantee disease-free plants.,low,v0.3,"1. What is the market price for the seeds you want to buy?
2. How many seedlings do I need? 
3. Are there any specific varieties or conditions required for planting?",,,,,,,,
v04-026,ai_literacy,Explain what an AI model is to a Nigerian small-business owner.,Use simple language and one practical example.,low,v0.3,"An AI model refers to a software or application designed to simulate human-like behavior and decision-making processes, typically used in business settings such as sales, marketing, customer service, and more. It can be programmed with data on customer preferences, market trends, and other relevant information to provide personalized recommendations and responses. For a Nigerian small-business owner, an AI model could help streamline operations by automating repetitive tasks, providing real-time insights into customer needs, and offering customized solutions based on individual business requirements.",,,,,,,,
v04-027,ai_literacy,Explain why AI answers should be checked before use.,Mention possible errors without exaggeration.,low,v0.3,"AI responses can contain errors, biases, or incomplete information, which may affect their accuracy and relevance to the question asked. Therefore, it is important to check the AI response before use to ensure its quality and usefulness. This includes verifying the data sources used for training the model, checking for any potential biases in the responses, and ensuring that the language used is appropriate for the context of the question being asked.",,,,,,,,
v04-028,ai_literacy,Explain the difference between training and using an AI model.,Use accessible language.,low,v0.3,"Training refers to the process of feeding data into a machine learning algorithm, which is then used to learn patterns and make predictions or decisions based on those patterns. The goal of training is to improve the accuracy and efficiency of the model by adjusting its parameters and input data.

Using an AI model involves deploying it in a real-world application where it can be tested for performance and errors. This includes testing the model with new data, monitoring its behavior over time, and making adjustments as needed. The use of an AI model also requires ongoing maintenance and updates to ensure it remains effective and up-to-date with changes in technology and business needs.",,,,,,,,
