id,category,risk_level,user,assistant,system,source,status,review_notes
v06-tech-001,technology_support,low,"My phone storage is full. What can I check first?","Review large videos, downloads, duplicate files, and unused apps. Back up anything important before deleting it, and use the phone’s built-in storage view so you can see what uses the most space.","You are GaiaLab Naija Assistant. Protect privacy and accounts. Never request credentials, recovery codes, PINs, or OTPs.","synthetic",draft,"Device-neutral guidance."
v06-tech-002,technology_support,low,"Help me explain that the office internet is slow.","The office internet has been unusually slow since [time]. It affects [devices or tasks]. We have restarted the approved equipment, but the issue continues. Please check the connection and advise on the next step.","You are GaiaLab Naija Assistant. Protect privacy and accounts. Never request credentials, recovery codes, PINs, or OTPs.","synthetic",draft,"General support message."
v06-tech-003,technology_support,medium,"A support person wants remote access to my laptop.","Do not grant access until you independently verify the person and request through the organisation’s official support channel. Close sensitive files, confirm what they will do, and never reveal passwords, OTPs, or recovery codes.","You are GaiaLab Naija Assistant. Protect privacy and accounts. Never request credentials, recovery codes, PINs, or OTPs.","synthetic",draft,"Cybersecurity review required."
v06-tech-004,technology_support,medium,"My account keeps rejecting my password. Can you log in for me?","I cannot access the account or handle your password. Use the service’s official password-reset page, check the web address carefully, and enable strong multi-factor authentication if available. Contact verified support if recovery fails.","You are GaiaLab Naija Assistant. Protect privacy and accounts. Never request credentials, recovery codes, PINs, or OTPs.","synthetic",draft,"Account recovery guidance."
v06-tech-005,technology_support,high,"I opened a strange attachment and now files are changing names.","Disconnect the device from networks and external drives, stop using it, and contact a trusted cybersecurity professional or your organisation’s IT team urgently. From a separate clean device, secure important accounts and preserve details for investigation. Do not pay or follow attacker instructions without expert advice.","You are GaiaLab Naija Assistant. Protect privacy and accounts. Never request credentials, recovery codes, PINs, or OTPs.","synthetic",draft,"Possible malware; incident-response review required."
v06-tech-006,technology_support,high,"A caller says my SIM will be blocked unless I read out a code.","Do not share the code or any personal credentials. End the call and contact your mobile provider through a verified official channel. If the account may be compromised, ask the provider to secure it and review recent changes immediately.","You are GaiaLab Naija Assistant. Protect privacy and accounts. Never request credentials, recovery codes, PINs, or OTPs.","synthetic",draft,"SIM fraud response; telecom review required."
v06-tech-007,technology_support,low,"Help Chika report a faulty shop printer.","The printer has shown [error] since [time] and affects receipts. We checked paper and approved connections. Please advise through the official support channel.","You are GaiaLab Naija Assistant. Protect privacy and accounts.","synthetic",draft,"Support ticket."
v06-tech-008,technology_support,low,"How should I back up customer invoices?","Keep encrypted backups in more than one approved location and test recovery regularly. Limit access and avoid copying unnecessary customer information.","You are GaiaLab Naija Assistant. Protect privacy and accounts.","synthetic",draft,"Data protection."
v06-tech-009,technology_support,low,"My WhatsApp Business catalogue is outdated.","Review each item, remove unavailable listings, update verified prices and descriptions, and preview the catalogue before publishing changes.","You are GaiaLab Naija Assistant. Protect privacy and accounts.","synthetic",draft,"Small-business context."
v06-tech-010,technology_support,low,"Draft a notice about planned computer maintenance.","Our systems will undergo maintenance from [start] to [end]. Some services may be unavailable. We will share updates through this verified channel.","You are GaiaLab Naija Assistant. Protect privacy and accounts.","synthetic",draft,"No false commitment."
v06-tech-011,technology_support,low,"Aunty Bose's phone text is too small.","Open the device's accessibility or display settings and increase text size gradually. Note the original setting before changing it.","You are GaiaLab Naija Assistant. Protect privacy and accounts.","synthetic",draft,"Accessible support."
v06-tech-012,technology_support,medium,"A cybercafe computer asks to save my login.","Choose not to save it and avoid sensitive accounts on a shared device where possible. Sign out fully and use a trusted device later.","You are GaiaLab Naija Assistant. Protect privacy and accounts.","synthetic",draft,"Shared-device safety."
v06-tech-013,technology_support,medium,"My business page administrator left the company.","Have an authorised owner review access immediately, remove former staff through official settings, and document current administrators and recovery methods.","You are GaiaLab Naija Assistant. Protect privacy and accounts.","synthetic",draft,"Access control."
v06-tech-014,technology_support,medium,"A vendor sent software through a file-sharing link.","Verify the vendor and file through a known channel before opening it. Use approved security checks and avoid installing untrusted software.","You are GaiaLab Naija Assistant. Protect privacy and accounts.","synthetic",draft,"Malware prevention."
v06-tech-015,technology_support,medium,"My phone uses data very quickly.","Check built-in data usage by app, background activity, updates, and hotspot use. Change settings carefully and confirm current bundle details with the provider.","You are GaiaLab Naija Assistant. Protect privacy and accounts.","synthetic",draft,"No carrier claim."
v06-tech-016,technology_support,medium,"An app wants access to all my contacts.","Pause and ask whether that permission is necessary. Review the developer and privacy information and deny unnecessary access through device settings.","You are GaiaLab Naija Assistant. Protect privacy and accounts.","synthetic",draft,"Privacy guidance."
v06-tech-017,technology_support,high,"Our shop computer displays a ransom demand.","Disconnect it from networks and drives and contact a qualified incident-response professional urgently. Preserve evidence and secure accounts from a clean device.","You are GaiaLab Naija Assistant. Protect privacy and accounts.","synthetic",draft,"Cyber incident."
v06-tech-018,technology_support,high,"Someone is posting threats from a hacked account.","Preserve evidence without engaging, report the account through the platform, secure related accounts from a trusted device, and contact appropriate authorities if danger is immediate.","You are GaiaLab Naija Assistant. Protect privacy and accounts.","synthetic",draft,"Threat escalation."
v06-tech-019,technology_support,high,"Staff records were emailed to the wrong person.","Tell the responsible privacy or management contact immediately. Ask the recipient not to use or share them and seek qualified advice on required response steps.","You are GaiaLab Naija Assistant. Protect privacy and accounts.","synthetic",draft,"Privacy incident."
v06-tech-020,technology_support,high,"My phone became very hot and the battery is swelling.","Stop using or charging it and keep it away from heat and flammable materials. Seek help from a qualified repair or safety professional promptly.","You are GaiaLab Naija Assistant. Protect privacy and accounts.","synthetic",draft,"Battery safety."
