record_id,version,category,prompt_preview,response_preview,discovered_source,proposed_source,discovered_license,proposed_license,ownership_basis,consent_status,reviewer,review_status,review_notes,classification,original_sha256,evidence_references,source_evidence,license_evidence,ownership_evidence,consent_evidence
v04-professional_boundaries-002,v0.4,professional_boundaries,Tell me exactly which antibiotic to use for fever.,I cannot diagnose the cause of a fever or choose an antibiotic. Antibiotics should be prescribed by a qualified clinici…,,,,,,,,,,provenance_recoverable,60b031176195f5fe729eb93a310d59eec088164a8fbb90b442b9bc708e5589b2,data/raw/professional_boundaries.jsonl:2#v04-professional_boundaries-002 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/professional_boundaries.jsonl#v04-professional_boundaries-002 | data/v0.4/v0.4_all_reviewed.jsonl:1#v04-professional_boundaries-002 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-nigerian_english-012,v0.4,nigerian_english,"Rewrite this professionally: Abeg, help me check am because e never enter since yesterday.","Kindly help me check it, as it has not been received since yesterday. Thank you.",,,,,,,,,,provenance_recoverable,6cd849f131c94f37f507d95b08471dbe23596d840371a81a73b053f6bf176b52,data/raw/nigerian_english.jsonl:12#v04-nigerian_english-012 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/nigerian_english.jsonl#v04-nigerian_english-012 | data/v0.4/v0.4_all_reviewed.jsonl:2#v04-nigerian_english-012 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-nigerian_english-008,v0.4,nigerian_english,Translate to clear English: Make we shift the meeting small.,Let us move the meeting to a slightly later time.,,,,,,,,,,provenance_recoverable,5617d7bf95594f72d0f2822563789f60e9be5696df272a1330fb87645427ff9d,data/raw/nigerian_english.jsonl:8#v04-nigerian_english-008 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/nigerian_english.jsonl#v04-nigerian_english-008 | data/v0.4/v0.4_all_reviewed.jsonl:3#v04-nigerian_english-008 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-customer_service-012,v0.4,customer_service,The tracking page has not updated for two days. What should I tell the customer?,I understand your concern. Tracking updates can sometimes be delayed. Please share the tracking number so the latest av…,,,,,,,,,,provenance_recoverable,18722ace31f66d7697c7a00893b58cdbf5ddae48be1e47f9edb0d384f15ec01a,data/raw/customer_service.jsonl:12#v04-customer_service-012 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/customer_service.jsonl#v04-customer_service-012 | data/v0.4/v0.4_all_reviewed.jsonl:4#v04-customer_service-012 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-customer_service-005,v0.4,customer_service,Tell a customer their delivery driver had an accident.,I cannot state that without verified information. I can only confirm the current delivery status after checking the ord…,,,,,,,,,,provenance_recoverable,a85a6b13d247705134c8000f9bd93b7f5991b3e4f7da649c5a886b99eb9a3404,data/raw/customer_service.jsonl:5#v04-customer_service-005 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/customer_service.jsonl#v04-customer_service-005 | data/v0.4/v0.4_all_reviewed.jsonl:5#v04-customer_service-005 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-safety_scams-009,v0.4,safety_scams,A crypto promoter guarantees 30 percent profit every week.,"Guaranteed high returns are a major warning sign. Do not send money until the person, company, registration, and risks …",,,,,,,,,,provenance_recoverable,6d1186e567eea6d13d4c232b495be084d56fecf4fcb08b1678c32e50ce71422c,data/raw/safety_scams.jsonl:9#v04-safety_scams-009 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/safety_scams.jsonl#v04-safety_scams-009 | data/v0.4/v0.4_all_reviewed.jsonl:6#v04-safety_scams-009 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-professional_boundaries-003,v0.4,professional_boundaries,Is this skin rash definitely cancer?,A rash cannot be diagnosed from that description alone. Please arrange an examination with a qualified healthcare profe…,,,,,,,,,,provenance_recoverable,6a16913c91d0acffc99ca9057f87154868a407296c36a35576592a844d0d11ee,data/raw/professional_boundaries.jsonl:3#v04-professional_boundaries-003 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/professional_boundaries.jsonl#v04-professional_boundaries-003 | data/v0.4/v0.4_all_reviewed.jsonl:7#v04-professional_boundaries-003 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-customer_service-010,v0.4,customer_service,A customer asks when an unresolved issue will definitely be fixed.,I cannot give a definite completion time until the issue is assessed. Please share the reference number so the current …,,,,,,,,,,provenance_recoverable,46914dea422cdb28fc106266f741da52e7fe812144bbf3a43931de886c2ae0a9,data/raw/customer_service.jsonl:10#v04-customer_service-010 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/customer_service.jsonl#v04-customer_service-010 | data/v0.4/v0.4_all_reviewed.jsonl:8#v04-customer_service-010 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-professional_boundaries-006,v0.4,professional_boundaries,My plant leaves are yellow. Confirm the exact disease.,"Yellow leaves can have several causes, including water stress, nutrient problems, pests, or disease. A photo, crop hist…",,,,,,,,,,provenance_recoverable,957df32e3eaf3b0e72abe92d444dcbe51ad1c65fd8f6403f29ded6594b9c7c32,data/raw/professional_boundaries.jsonl:6#v04-professional_boundaries-006 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/professional_boundaries.jsonl#v04-professional_boundaries-006 | data/v0.4/v0.4_all_reviewed.jsonl:9#v04-professional_boundaries-006 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-nigerian_english-005,v0.4,nigerian_english,Correct this sentence: I am coming to your house now now.,I am on my way to your house now.,,,,,,,,,,provenance_recoverable,b2e802bc05ff31e14fabbedb0a7ae8426f732e590f7d8cb0503fe12d2a093931,data/raw/nigerian_english.jsonl:5#v04-nigerian_english-005 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/nigerian_english.jsonl#v04-nigerian_english-005 | data/v0.4/v0.4_all_reviewed.jsonl:10#v04-nigerian_english-005 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-professional_boundaries-008,v0.4,professional_boundaries,Tell me how much insulin to take tonight.,I cannot calculate or change an insulin dose. Follow your prescribed plan and contact your clinician or urgent medical …,,,,,,,,,,provenance_recoverable,8600ae7663eae10cae62a98c4dafa87b61cf7a246d72e9dfbb6d19e45f6bf429,data/raw/professional_boundaries.jsonl:8#v04-professional_boundaries-008 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/professional_boundaries.jsonl#v04-professional_boundaries-008 | data/v0.4/v0.4_all_reviewed.jsonl:11#v04-professional_boundaries-008 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-nigerian_english-010,v0.4,nigerian_english,Rewrite politely for work: I no understand wetin you mean.,Please clarify what you mean so I can understand and respond correctly.,,,,,,,,,,provenance_recoverable,d27880f94e98c2dd9cadbdebf9e7838cd0957af3ec1bfbcecd16103072ee044f,data/raw/nigerian_english.jsonl:10#v04-nigerian_english-010 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/nigerian_english.jsonl#v04-nigerian_english-010 | data/v0.4/v0.4_all_reviewed.jsonl:12#v04-nigerian_english-010 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-nigerian_english-001,v0.4,nigerian_english,Please rewrite: I dey come office tomorrow morning.,I will come to the office tomorrow morning.,,,,,,,,,,provenance_recoverable,41b885d8907a653891ead7d4ac46a44513106e0fc906165488f63e87ee141b45,data/raw/nigerian_english.jsonl:1#v04-nigerian_english-001 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/nigerian_english.jsonl#v04-nigerian_english-001 | data/v0.4/v0.4_all_reviewed.jsonl:13#v04-nigerian_english-001 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
