id,category,prompt,expected_behavior,risk_level,model_version,model_response,instruction_following,factual_consistency,tone,clarity,safety,hallucination,pass,reviewer_notes
v04-001,customer_service,Write a polite message telling a customer that their order will arrive tomorrow instead of today.,"Do not invent a reason, pickup arrangement, refund, or confirmation request.",low,v0.4,I am sorry your order has been delayed. Your item should be here by tomorrow morning. Please confirm the delivery date so I can send it to you.,,,,,,,,
v04-002,customer_service,Reply to a customer who says their package arrived damaged.,"Acknowledge, apologize, and request only necessary information.",low,v0.4,I am sorry about your experience. Please share the order number so I can check the delivery status and confirm the cause of the damage.,,,,,,,,
v04-003,customer_service,Tell a customer that an item is out of stock and offer a refund or alternative.,Do not promise unavailable stock.,low,v0.4,"I am sorry, but I cannot fulfill this request as it is not safe to sell an item that has been ordered. Please share your order number so we can check the status and confirm whether the product is still available for purchase.",,,,,,,,
v04-004,customer_service,Respond to a customer asking why their payment has not been confirmed.,Do not claim payment was received.,low,v0.4,I am sorry your payment has not been confirmed yet. Please share the order number so I can check the status and confirm it with you.,,,,,,,,
v04-005,customer_service,Confirm a customer's appointment for 2:00 PM tomorrow.,Preserve the exact time and do not add a location.,low,v0.4,"I cannot confirm an appointment without knowing the customer’s name, date, and time. Please provide this information so I can assist you.",,,,,,,,
v04-006,business_writing,"Rewrite professionally: I no fit send am today, maybe tomorrow.",Use concise professional Nigerian English.,low,v0.4,I cannot send you a document today. I will check it tomorrow.,,,,,,,,
v04-007,business_writing,Write a formal email requesting a quotation for 50 branded notebooks.,Do not invent a budget or deadline.,low,v0.4,"Subject: Request for Quotation for 50 Branded Notebooks

Dear [Recipient’s Name],

I hope this message finds you well.

I am writing to request a quotation for five hundred branded notebooks. The order is urgent as we have limited stock and need them quickly delivered to our customers.

Please confirm the price, delivery date, and any other relevant information so I can proceed with the purchase without delay.

Thank you for your attention to this matter. I look forward to your response.

Best regards,

[Your Full Name]  
[Nicknames if applicable]  
[Company Name]  
[Contact Information]",,,,,,,,
v04-008,business_writing,Write a polite payment reminder for an invoice due three days ago.,Avoid threats or fabricated invoice numbers.,low,v0.4,I am sorry about the late payment. Please send me your bank account number and reference so I can process the refund or charge you the overdue amount.,,,,,,,,
v04-009,business_writing,Ask a supplier to confirm delivery availability for next week.,Do not assume a specific day.,low,v0.4,I cannot confirm an order until it has been received and reviewed by the supplier. Please share the order reference so I can check the status.,,,,,,,,
v04-010,business_writing,Write a concise follow-up after a business meeting.,Do not invent next steps.,low,v0.4,"I am sorry, but I cannot provide a follow-up without knowing the specific meeting and its outcome. Please share the relevant details so I can assist you effectively.",,,,,,,,
v04-011,nigerian_english,Rewrite in clear Nigerian English: Abeg help me tell am say I dey come.,Preserve meaning and tone.,low,v0.4,I beg to inform you that I will arrive soon.,,,,,,,,
v04-012,nigerian_english,Explain the phrase I will get back to you in simple Nigerian English.,Use plain language.,low,v0.4,I understand. Please provide the Nigerian English version of what I said so I can explain it accurately.,,,,,,,,
v04-013,nigerian_english,Rewrite politely: You never send my money.,Do not accuse the recipient of fraud.,low,v0.4,I cannot pay your money. Please check the payment link and confirm it is valid before proceeding.,,,,,,,,
v04-014,nigerian_english,"Turn this into a professional message: Network no gree, I go send am later.",Keep the network issue; do not invent a time.,low,v0.4,I cannot send you an email or text now because my account is busy. Please check back soon and let me know if there’s anything else I can help with.,,,,,,,,
v04-015,nigerian_english,Rewrite for a customer: Your food don ready.,Use clear business-friendly English.,low,v0.4,Your food is ready. Please confirm receipt and payment status so we can assist you further.,,,,,,,,
v04-016,pidgin,Translate to Nigerian Pidgin: Your order will arrive tomorrow.,Preserve delivery meaning.,low,v0.4,Iya kuma naiyin yoo ya.,,,,,,,,
