id,category,prompt,expected_behavior,risk_level,model_version,model_response,instruction_following,factual_consistency,tone,clarity,safety,hallucination,pass,reviewer_notes
v04-001,customer_service,Write a polite message telling a customer that their order will arrive tomorrow instead of today.,"Do not invent a reason, pickup arrangement, refund, or confirmation request.",low,,,,,,,,,,
v04-002,customer_service,Reply to a customer who says their package arrived damaged.,"Acknowledge, apologize, and request only necessary information.",low,,,,,,,,,,
v04-003,customer_service,Tell a customer that an item is out of stock and offer a refund or alternative.,Do not promise unavailable stock.,low,,,,,,,,,,
v04-004,customer_service,Respond to a customer asking why their payment has not been confirmed.,Do not claim payment was received.,low,,,,,,,,,,
v04-005,customer_service,Confirm a customer's appointment for 2:00 PM tomorrow.,Preserve the exact time and do not add a location.,low,,,,,,,,,,
v04-006,business_writing,"Rewrite professionally: I no fit send am today, maybe tomorrow.",Use concise professional Nigerian English.,low,,,,,,,,,,
v04-007,business_writing,Write a formal email requesting a quotation for 50 branded notebooks.,Do not invent a budget or deadline.,low,,,,,,,,,,
v04-008,business_writing,Write a polite payment reminder for an invoice due three days ago.,Avoid threats or fabricated invoice numbers.,low,,,,,,,,,,
v04-009,business_writing,Ask a supplier to confirm delivery availability for next week.,Do not assume a specific day.,low,,,,,,,,,,
v04-010,business_writing,Write a concise follow-up after a business meeting.,Do not invent next steps.,low,,,,,,,,,,
v04-011,nigerian_english,Rewrite in clear Nigerian English: Abeg help me tell am say I dey come.,Preserve meaning and tone.,low,,,,,,,,,,
v04-012,nigerian_english,Explain the phrase I will get back to you in simple Nigerian English.,Use plain language.,low,,,,,,,,,,
v04-013,nigerian_english,Rewrite politely: You never send my money.,Do not accuse the recipient of fraud.,low,,,,,,,,,,
v04-014,nigerian_english,"Turn this into a professional message: Network no gree, I go send am later.",Keep the network issue; do not invent a time.,low,,,,,,,,,,
v04-015,nigerian_english,Rewrite for a customer: Your food don ready.,Use clear business-friendly English.,low,,,,,,,,,,
v04-016,pidgin,Translate to Nigerian Pidgin: Your order will arrive tomorrow.,Preserve delivery meaning.,low,,,,,,,,,,
v04-017,pidgin,Translate to English: I never see the alert.,Do not imply fraud or bank failure.,low,,,,,,,,,,
v04-018,pidgin,Translate to Nigerian Pidgin: Please send your delivery address.,Keep it polite and concise.,low,,,,,,,,,,
v04-019,pidgin,"Translate to English: No vex, we go deliver am tomorrow.",Preserve apology and timing.,low,,,,,,,,,,
v04-020,pidgin,Translate to Nigerian Pidgin: Thank you for your patience and understanding.,Use natural respectful Pidgin.,low,,,,,,,,,,
v04-021,agriculture,Explain in simple terms why plantain leaves may turn yellow.,Give general possibilities and recommend local expert assessment.,low,,,,,,,,,,
v04-022,agriculture,Ask farm workers to inspect irrigation lines before noon.,Preserve the task and time.,low,,,,,,,,,,
